,PeakID,Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
0,20004,chr4,29370943,29371046,+,0,,Intergenic,Intergenic,549790,NR_036237,MIR4275,NR_036237,,,MIR4275,,,
1,7575,chr14,42244455,42244584,+,0,,"intron (NM_152447, intron 2 of 5)","-intron (NM_152447, intron 2 of 5)",167755,NM_152447,LRFN5,NM_152447,,,LRFN5,,,
2,4032,chr11,20884839,20884883,+,0,,"intron (NM_201551, intron 4 of 18)","-intron (NM_006157, intron 4 of 19)",193744,NM_006157,NELL1,NM_201551,,,NELL1,,,
3,8096,chr15,27112555,27112593,+,0,,"intron (NM_001165037, intron 1 of 10)","-intron (NM_000810, intron 1 of 10)",301,NM_001165037,GABRA5,NM_000810,,,GABRA5,,,
4,1746,chr1,47489423,47489465,+,0,,"exon (NM_178033, exon 1 of 12)","-exon (NM_178033, exon 1 of 12)",204,NM_178033,CYP4X1,NM_178033,,,CYP4X1,,,
5,28289,chrX,19514834,19514932,+,0,,"intron (NM_001001671, intron 1 of 28)","-intron (NM_001001671, intron 1 of 28)",18496,NM_001001671,MAP3K15,NM_001001671,,,MAP3K15,,,
6,16736,chr21,25499022,25499068,+,0,,Intergenic,Intergenic,-713819,NR_046198,LOC339622,NR_046198,,,LOC339622,,,
7,15263,chr2,2715851,2716014,+,0,,Intergenic,Intergenic,-380887,NM_015025,MYT1L,NM_015025,,,MYT1L,,,
8,27742,chr9,8713603,8713655,+,0,,"intron (NM_130393, intron 1 of 28)","-intron (NM_001040712, intron 1 of 29)",20317,NM_001040712,PTPRD,NM_130391,,,PTPRD,,,
9,21683,chr5,179222839,179222894,+,0,,"intron (NM_145867, intron 3 of 4)","-intron (NM_145867, intron 3 of 4)",1880,NM_145867,LTC4S,NM_145867,,,LTC4S,,,
10,23659,chr7,103712201,103712256,+,0,,Intergenic,Intergenic,-82265,NM_173054,RELN,NM_173054,,,RELN,,,
11,15875,chr20,24839318,24839363,+,0,,Intergenic,Intergenic,-90526,NM_003650,CST7,NM_003650,,,CST7,,,
12,16029,chr20,37861685,37861789,+,0,,Intergenic,Intergenic,-8346,NR_027124,LOC339568,NR_027124,,,LOC339568,,,
13,26153,chr8,49495173,49495231,+,0,,Intergenic,Intergenic,152668,NM_024593,EFCAB1,NM_024593,,,EFCAB1,,,
14,22096,chr5,50678698,50678772,+,0,,promoter-TSS (NM_002202),-promoter-TSS (NM_002202),-223,NM_002202,ISL1,NM_002202,,,ISL1,,,
15,19773,chr4,180610675,180610807,+,0,,Intergenic,Intergenic,1469561,NR_033918,LINC00290,NR_033918,,,LINC00290,,,
16,25126,chr8,102892597,102892667,+,0,,"intron (NM_001040629, intron 3 of 6)","-intron (NM_001040624, intron 5 of 7)",-89193,NM_032041,NCALD,NM_001040628,,,NCALD,,,
17,28236,chrX,154493207,154493342,+,0,,"intron (NM_171998, intron 1 of 1)","-intron (NM_171998, intron 1 of 1)",578,NM_171998,RAB39B,NM_171998,,,RAB39B,,,
18,12451,chr19,1833586,1833658,+,0,,"intron (NM_020695, intron 1 of 15)","-intron (NM_020695, intron 1 of 15)",11534,NR_034114,LOC100288123,NR_034114,,,LOC100288123,,,
19,15213,chr2,242729131,242729198,+,0,,"intron (NM_022134, intron 1 of 3)","-intron (NM_022134, intron 1 of 3)",12924,NM_022134,GAL3ST2,NM_022134,,,GAL3ST2,,,
20,18450,chr3,156931673,156931738,+,0,,Intergenic,Intergenic,-53223,NM_020307,CCNL1,NM_020307,,,CCNL1,,,
21,27739,chr9,86152986,86153036,+,0,,"exon (NM_001244959, exon 1 of 15)","-exon (NM_001244959, exon 1 of 15)",337,NM_174938,FRMD3,NM_001244961,,,FRMD3,,,
22,13461,chr19,50015581,50015708,+,0,,promoter-TSS (NM_004107),-promoter-TSS (NM_004107),108,NM_001136019,FCGRT,NM_004107,,,FCGRT,,,
23,1034,chr1,228359076,228359129,+,0,,"intron (NM_001010867, intron 1 of 2)","-intron (NM_001010867, intron 1 of 2)",5673,NM_001010867,IBA57,NM_001010867,,,IBA57,,,
24,21569,chr5,177808315,177808455,+,0,,"intron (NM_173465, intron 2 of 28)","-intron (NM_173465, intron 2 of 28)",-148582,NM_153373,AGXT2L2,NM_153373,,,AGXT2L2,,,
25,17036,chr21,46746913,46747005,+,0,,Intergenic,Intergenic,-21787,NR_046319,LINC00315,NR_046319,,,LINC00315,,,
26,18872,chr3,39850654,39850692,+,0,,promoter-TSS (NM_015460),-promoter-TSS (NM_015460),-630,NM_015460,MYRIP,NM_015460,,,MYRIP,,,
27,12718,chr19,29966526,29966650,+,0,,"intron (NR_040029, intron 1 of 9)","-intron (NR_040029, intron 1 of 9)",50071,NR_040029,LOC284395,NR_040029,,,LOC284395,,,
28,22326,chr5,93679251,93679317,+,0,,"intron (NM_001145678, intron 20 of 20)","-intron (NM_001145678, intron 20 of 20)",-231880,NM_001163418,FAM172A,NM_001163418,,,FAM172A,,,
29,17388,chr22,33499032,33499140,+,0,,Intergenic,Intergenic,-44709,NM_001135774,SYN3,NM_003490,,,SYN3,,,
30,2359,chr10,126480912,126481024,+,0,,promoter-TSS (NM_212554),-promoter-TSS (NM_212554),-529,NM_212554,METTL10,NM_212554,,,METTL10,,,
31,14871,chr2,217467860,217467907,+,0,,Intergenic,Intergenic,-30244,NM_000597,IGFBP2,NM_000597,,,IGFBP2,,,
32,5942,chr12,42109863,42109929,+,0,,Intergenic,Intergenic,278355,NM_013377,PDZRN4,NM_001164595,,,PDZRN4,,,
33,8331,chr15,63767183,63767359,+,0,,Intergenic,Intergenic,-29439,NM_001256702,USP3,NM_006537,,,USP3,,,
34,24657,chr7,438503,438575,+,0,,Intergenic,Intergenic,19148,NR_033960,LOC442497,NR_033960,,,LOC442497,,,
35,14818,chr2,208656933,208656986,+,0,,Intergenic,Intergenic,-22816,NM_003468,FZD5,NM_003468,,,FZD5,,,
36,21910,chr5,28926505,28926560,+,0,,promoter-TSS (NR_033961),-promoter-TSS (NR_033961),-445,NR_033961,LOC729862,NR_033961,,,LOC729862,,,
37,24608,chr7,3827632,3827687,+,0,,"intron (NM_152744, intron 4 of 44)","-intron (NM_152744, intron 4 of 44)",-341658,NM_001079653,SDK1,NR_027816,,,SDK1,,,
38,17,chr1,103319303,103319352,+,0,,Intergenic,Intergenic,254725,NM_080629,COL11A1,NM_080629,,,COL11A1,,,
39,14227,chr2,114736467,114736534,+,0,,promoter-TSS (NR_034128),-promoter-TSS (NR_034128),-646,NR_034128,LOC440900,NR_034128,,,LOC440900,,,
40,19908,chr4,190904850,190904953,+,0,,Intergenic,Intergenic,42927,NM_004477,FRG1,NM_004477,,,FRG1,,,
41,10971,chr17,62066926,62066994,+,0,,Intergenic,Intergenic,-8751,NM_001164257,C17orf72,NM_001191029,,,C17orf72,,,
42,11241,chr17,74965626,74965698,+,0,,Intergenic,Intergenic,96933,NM_198955,MGAT5B,NM_144677,,,MGAT5B,,,
