PeakID	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
11328	chr17	1342289	1342351	+	0	NA	intron (NM_016823, intron 1 of 2)	-intron (NM_005206, intron 1 of 2)	17241	NM_016823	CRK	NM_005206			CRK			
6825	chr12	70949821	70949897	+	0	NA	exon (NM_001109754, exon 19 of 34)	-exon (NM_001109754, exon 19 of 34)	53765	NM_001206971	PTPRB	NM_001206972			PTPRB			
30857	chr9	140058120	140058200	+	0	NA	intron (NM_021569, intron 17 of 18)	-intron (NM_000832, intron 17 of 18)	5562	NR_037416	MIR3621	NR_037416			MIR3621			
6547	chr12	48975192	48975296	+	0	NA	Intergenic	Intergenic	-11415	NM_002289	LALBA	NM_002289			LALBA			
31561	chrX	110039350	110039391	+	0	NA	promoter-TSS (NM_001143981)	-promoter-TSS (NM_001143981)	-84	NM_001143983	CHRDL1	NM_001143983			CHRDL1			
23079	chr4	6310926	6310965	+	0	NA	Intergenic	Intergenic	39368	NM_001145853	WFS1	NM_001145853			WFS1			
9630	chr16	1236946	1236992	+	0	NA	intron (NM_021098, intron 2 of 34)	-intron (NM_001005407, intron 2 of 33)	33728	NM_021098	CACNA1H	NM_021098			CACNA1H			
31109	chr9	36522092	36522194	+	0	NA	Intergenic	Intergenic	-50716	NR_046337	MELK	NM_001256692			MELK			
15465	chr19	54291212	54291289	+	0	NA	promoter-TSS (NR_029866)	-promoter-TSS (NR_029866)	106	NR_029865	MIR372	NR_029865			MIR372			
27020	chr7	139941404	139941537	+	0	NA	Intergenic	Intergenic	64409	NR_024451	LOC100134229	NR_024451			LOC100134229			
30082	chr9	124265200	124265295	+	0	NA	Intergenic	Intergenic	-2941	NR_045211	GGTA1P	NR_003191			GGTA1P			
22990	chr4	49521849	49522000	+	0	NA	Intergenic	Intergenic	533659	NM_025087	CWH43	NM_025087			CWH43			
10882	chr16	86250705	86250782	+	0	NA	Intergenic	Intergenic	-69294	NR_038438	LOC146513	NR_038438			LOC146513			
443	chr1	154540488	154540526	+	0	NA	exon (NM_000748, exon 1 of 6)	-exon (NM_000748, exon 1 of 6)	250	NM_000748	CHRNB2	NM_000748			CHRNB2			
13922	chr19	1379281	1379357	+	0	NA	TTS (NM_032853)	-TTS (NM_032853)	-4564	NM_024407	NDUFS7	NM_024407			NDUFS7			
15113	chr19	46204240	46204334	+	0	NA	intron (NM_017659, intron 5 of 6)	-intron (NM_001163377, intron 4 of 5)	8546	NM_017659	QPCTL	NM_001163377			QPCTL			
30490	chr9	136595354	136595456	+	0	NA	intron (NM_007101, intron 4 of 20)	-intron (NM_001134707, intron 4 of 20)	8074	NM_001134707	SARDH	NM_007101			SARDH			
12008	chr17	46570345	46570416	+	0	NA	Intergenic	Intergenic	37892	NM_002144	HOXB1	NM_002144			HOXB1			
9996	chr16	29748703	29748767	+	0	NA	Intergenic	Intergenic	8605	NM_175900	C16orf54	NM_175900			C16orf54			
28780	chr8	142194440	142194543	+	0	NA	intron (NM_014957, intron 17 of 22)	-intron (NM_014957, intron 17 of 22)	44182	NM_001080431	SLC45A4	NM_001080431			SLC45A4			
24570	chr5	21667044	21667109	+	0	NA	Intergenic	Intergenic	207487	NR_027027	GUSBP1	NR_027027			GUSBP1			
6987	chr12	95800139	95800205	+	0	NA	Intergenic	Intergenic	-67650	NM_006838	METAP2	NM_006838			METAP2			
